label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_F_S_48_L,G9,F,S,48,L,2.989629846,1.095149582
G9_F_S_48_R,G9,F,S,48,R,2.984784748,1.093527633
G9_F_S_49_L,G9,F,S,49,L,2.597778701,0.954656734
G9_F_S_49_R,G9,F,S,49,R,2.615877128,0.961599463
G9_F_S_50_L,G9,F,S,50,L,2.522265794,0.925157622
G9_F_S_50_R,G9,F,S,50,R,2.507127401,0.919137636
G9_F_S_51_L,G9,F,S,51,L,2.755494345,1.013596862
G9_F_S_51_R,G9,F,S,51,R,2.759434059,1.015025608
G9_F_S_52_L,G9,F,S,52,L,2.594547177,0.953412003
G9_F_S_52_R,G9,F,S,52,R,2.512052768,0.921100255
G9_F_S_53_L,G9,F,S,53,L,2.921961969,1.072255298
G9_F_S_53_R,G9,F,S,53,R,2.928987368,1.074656755
G9_F_S_54_L,G9,F,S,54,L,2.599421493,0.955288918
G9_F_S_54_R,G9,F,S,54,R,2.618135776,0.962462529
G9_F_S_55_L,G9,F,S,55,L,2.547366452,0.935060062
G9_F_S_55_R,G9,F,S,55,R,2.549518904,0.935904676
G9_F_S_56_L,G9,F,S,56,L,2.333479299,0.847360415
G9_F_S_56_R,G9,F,S,56,R,2.343065661,0.851460183
G9_F_S_57_L,G9,F,S,57,L,2.733702653,1.005656974
G9_F_S_57_R,G9,F,S,57,R,2.730117358,1.004344597
G9_F_S_58_L,G9,F,S,58,L,2.329622051,0.845706045
G9_F_S_58_R,G9,F,S,58,R,2.338321807,0.849433495
G9_M_C_01_L,G9,M,C,1,L,2.197213239,0.787189848
G9_M_C_01_R,G9,M,C,1,R,2.196438956,0.786837393
G9_M_C_02_L,G9,M,C,2,L,1.935134998,0.66017709
G9_M_C_02_R,G9,M,C,2,R,1.943739091,0.664613485
G9_M_C_03_L,G9,M,C,3,L,2.188287525,0.783119286
G9_M_C_03_R,G9,M,C,3,R,2.191834813,0.784739007
G9_M_C_04_L,G9,M,C,4,L,2.217107267,0.796203313
G9_M_C_04_R,G9,M,C,4,R,2.208917892,0.792502754
G9_M_C_05_L,G9,M,C,5,L,2.336193959,0.848523092
G9_M_C_05_R,G9,M,C,5,R,2.343400392,0.851603034
G9_M_C_06_L,G9,M,C,6,L,2.030252476,0.708160158
G9_M_C_06_R,G9,M,C,6,R,2.051813232,0.718723906
G9_M_C_07_L,G9,M,C,7,L,1.958048769,0.671948451
G9_M_C_07_R,G9,M,C,7,R,1.973863242,0.679992659
G9_M_C_08_L,G9,M,C,8,L,2.588331546,0.951013478
G9_M_C_08_R,G9,M,C,8,R,2.58697109,0.950487728
G9_M_C_09_L,G9,M,C,9,L,2.33534812,0.848160968
G9_M_C_09_R,G9,M,C,9,R,2.331277783,0.846416522
G9_M_C_10_L,G9,M,C,10,L,2.388070141,0.870485567
G9_M_C_10_R,G9,M,C,10,R,2.388007794,0.870459459
